time,symbol,direction,model,setup,kill_zone,confidence,entry,sl,tp1,rr,result,exit,candles
2026-06-16 08:15:00+00:00,EURUSD=X,SHORT,UNICORN,Unicorn Model,london,5,1.1605,1.16179,1.15781,2.07,LOSS,1.16179,30
2026-06-22 13:30:00+00:00,EURUSD=X,LONG,OB_FVG,Bullish IFVG,new_york,4,1.14377,1.14198,1.14758,2.12,LOSS,1.14198,72
2026-06-16 19:00:00+00:00,GC=F,SHORT,UNICORN,Unicorn Model,ny_close,5,4360.5,4368.1001,4333.7002,3.53,LOSS,4368.1001,20
2026-06-15 07:00:00+00:00,BTC-USD,SHORT,OB_FVG,Bearish IFVG,london,4,65777.49219,65953.53906,63642.96875,12.12,LOSS,65953.53906,1
2026-06-16 12:00:00+00:00,BTC-USD,SHORT,UNICORN,Unicorn Model,new_york,5,66501.99219,66936.59375,65607.53906,2.06,WIN,65607.53906,9
2026-06-17 00:30:00+00:00,BTC-USD,LONG,OTE,OTE 62-79% Fib,asia,4,65758.79688,65302.35938,66936.59375,2.58,LOSS,65302.35938,29
2026-06-19 00:00:00+00:00,BTC-USD,LONG,UNICORN,Unicorn Model,asia,5,62793.87109,62178.62891,64569.98047,2.89,OPEN,,96
2026-06-22 00:00:00+00:00,BTC-USD,LONG,UNICORN,Unicorn Model,asia,5,63427.10156,63347.44071,64397.10938,12.18,WIN,64397.10938,5
2026-06-22 00:15:00+00:00,BTC-USD,LONG,UNICORN,Unicorn Model,asia,5,63645.55859,63516.79853,64397.10938,5.84,WIN,64397.10938,4
2026-06-17 08:00:00+00:00,ES=F,SHORT,OTE,OTE 62-79% Fib,london,4,7598.5,7607.92532,7578.0,2.17,WIN,7578.0,26
2026-06-18 19:30:00+00:00,ES=F,SHORT,UNICORN,Unicorn Model,ny_close,5,7571.25,7581.5,7530.75,3.95,LOSS,7581.5,3
2026-06-23 00:45:00+00:00,ES=F,LONG,UNICORN,Unicorn Model,asia,5,7540.25,7527.25,7567.25,2.08,LOSS,7527.25,3
2026-06-22 01:15:00+00:00,NQ=F,SHORT,OB_FVG,Bearish Breaker Block,asia,4,30651.5,30783.25,30337.5,2.38,LOSS,30783.25,39
